mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.184885025024414,0.15922027105149067,0.06904335021972656,0.0014837032448205857,400,20,8,0.85,sqrt,6,entropy,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': 'sqrt', 'max_depth': 6, 'criterion': 'entropy', 'bootstrap': True}",0.5135708716295604,0.577028162208837,0.5505508515533047,0.5213573955972137,0.4887479959319015,0.5302510553841635,0.03059414684473789,1,0.633411249912428,0.6365144241570391,0.6464282458644145,0.6443335386917464,0.6491770707890506,0.6419729058829357,0.006006989417543063
2.599392223358154,0.13201973574506365,0.0861961841583252,0.029443211436276862,400,40,1,0.85,0.5,5,log_loss,True,"{'n_estimators': 400, 'min_samples_split': 40, 'min_samples_leaf': 1, 'max_samples': 0.85, 'max_features': 0.5, 'max_depth': 5, 'criterion': 'log_loss', 'bootstrap': True}",0.5214636948713717,0.5678386336663228,0.5286957294797756,0.5370565882729869,0.49400040615090685,0.5298110104882727,0.023882711046904027,2,0.6013874870466259,0.5955821253908364,0.600335253031454,0.6087473568964354,0.6063341840795384,0.602477281288978,0.004636995981569043
2.9615871906280518,0.21900127906852054,0.10237560272216797,0.011729795409033352,600,40,1,0.7,sqrt,5,log_loss,True,"{'n_estimators': 600, 'min_samples_split': 40, 'min_samples_leaf': 1, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'bootstrap': True}",0.5076220714277826,0.5789523529257031,0.5351643600530828,0.5269180591517145,0.4959925548174627,0.5289298796751492,0.028579902234231153,3,0.599841096903417,0.6003110376419262,0.610742265086652,0.6099973197226187,0.6062565532087258,0.6054296545126681,0.004630407603136088
3.1222790241241456,0.3615287553948329,0.11120371818542481,0.02645831207062122,600,40,1,0.7,sqrt,5,entropy,True,"{'n_estimators': 600, 'min_samples_split': 40, 'min_samples_leaf': 1, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}",0.5076220714277826,0.5789523529257031,0.5351643600530828,0.5269180591517145,0.4959925548174627,0.5289298796751492,0.028579902234231153,3,0.599841096903417,0.6003110376419262,0.610742265086652,0.6099973197226187,0.6062565532087258,0.6054296545126681,0.004630407603136088
1.7929620265960693,0.2965118615237101,0.04479107856750488,0.007621417889390986,200,40,8,0.7,0.75,8,log_loss,True,"{'n_estimators': 200, 'min_samples_split': 40, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 0.75, 'max_depth': 8, 'criterion': 'log_loss', 'bootstrap': True}",0.5283015470644638,0.5611210280520962,0.5278113407556538,0.5373669591720297,0.4863774359882114,0.528195662206491,0.0241541522837005,5,0.6486635991994646,0.6305499575641769,0.6408947237405551,0.6480458983404673,0.6507192602708898,0.6437746878231108,0.007396748795927073
4.352549695968628,0.372009694417746,0.11242384910583496,0.0216400950358605,600,10,4,,0.5,5,entropy,True,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_samples': None, 'max_features': 0.5, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}",0.5193064319430939,0.5664744241154059,0.5396421587499893,0.5353081888352684,0.47840006490762704,0.5278262537102769,0.02899935014197984,6,0.6111824520747138,0.6117009129856807,0.6204619141889531,0.6211149826277744,0.6217403378215327,0.617240119939731,0.004754463874336638
1.640451765060425,0.14990604579931352,0.0450169563293457,0.004901458879336,200,20,2,,0.5,6,log_loss,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_samples': None, 'max_features': 0.5, 'max_depth': 6, 'criterion': 'log_loss', 'bootstrap': True}",0.5353452420543124,0.5742885167094421,0.5275224670965797,0.5234932376620208,0.47609687184685523,0.527349267073842,0.03133348288913143,7,0.6562924730936963,0.6496507294052,0.6526423709711416,0.662876149629914,0.668110843632067,0.6579145133464037,0.006742397359063226
3.586578035354614,0.319232646931042,0.11019201278686523,0.027639493106999265,600,20,1,0.7,0.5,5,entropy,True,"{'n_estimators': 600, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}",0.5182920784561657,0.5732409176959715,0.5329403170517477,0.5298810176394158,0.4773340594624547,0.5263376780611512,0.030731580805479813,8,0.6089423461191076,0.6031301582681522,0.610401495035657,0.6174271696798415,0.6162662986898805,0.6112334935585277,0.005201852984184936
1.319178867340088,0.203134449353449,0.04163970947265625,0.005390990878797108,200,40,8,0.7,0.5,6,entropy,True,"{'n_estimators': 200, 'min_samples_split': 40, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': 6, 'criterion': 'entropy', 'bootstrap': True}",0.5148869240516112,0.5656862898135167,0.5334008323631894,0.5246073084198781,0.49100454486538075,0.5259171799027152,0.0244125441113336,9,0.6123433149607106,0.6068063314325516,0.6124323138499198,0.6159659463768465,0.6218656286781635,0.6138827070596384,0.004952078031149049
4.09232497215271,0.42369648395292503,0.12129883766174317,0.014201692441889643,600,40,8,0.7,0.5,8,gini,True,"{'n_estimators': 600, 'min_samples_split': 40, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': True}",0.5155426621118134,0.5775655164579085,0.538868551395764,0.5206810631488832,0.47537730591422755,0.5256070198057194,0.03323893529241375,10,0.6452136175840159,0.6353625234346686,0.6456840695484234,0.6498920536299051,0.6556796229622668,0.646366377431856,0.006664024865938158
6.4716980934143065,0.6365390392882557,0.17274837493896483,0.043209625351353156,800,40,8,0.85,0.75,6,gini,True,"{'n_estimators': 800, 'min_samples_split': 40, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': 0.75, 'max_depth': 6, 'criterion': 'gini', 'bootstrap': True}",0.5210907206120043,0.5631139266678653,0.5318172841255651,0.5314575765113979,0.47959635898362013,0.5254151733800906,0.026895197718152863,11,0.6192505282143698,0.6138212285259148,0.621612708932171,0.6304748543088506,0.6321865139717231,0.6234691667906059,0.006919506621945887
3.6225462436676024,0.5442905875906062,0.13517341613769532,0.022938900122805896,600,10,8,0.7,sqrt,10,entropy,True,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'bootstrap': True}",0.5086927258913101,0.5755655634889323,0.5413190271788788,0.5156640735911701,0.4856793945869101,0.5253841569474402,0.030729938812291326,12,0.7235841530083926,0.7149738281009241,0.7163893784895525,0.7225696497569863,0.7307125411842246,0.721645910108016,0.0056384693404731125
1.5923823356628417,0.19193591247023697,0.042343664169311526,0.006685978249916225,200,20,1,,0.5,6,log_loss,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_samples': None, 'max_features': 0.5, 'max_depth': 6, 'criterion': 'log_loss', 'bootstrap': True}",0.5290618358017644,0.5773377136171969,0.5291676761460662,0.5179464429022781,0.4710809287558796,0.524918919444637,0.03385288862856984,13,0.6570808926763536,0.6494493772697313,0.6554353991445294,0.6655535486388412,0.6686707789359666,0.6592379993330845,0.00698274291796096
2.153507423400879,0.3379212002967176,0.07116231918334961,0.00919986255356559,400,5,2,0.7,sqrt,5,entropy,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}",0.5057716151664721,0.5650681983103659,0.5412051031019146,0.5210991384631581,0.4896220420795703,0.5245532194242962,0.026471173863748153,14,0.6151720935675401,0.6166867014976823,0.6257673255403293,0.6260601542925612,0.6274664312081404,0.6222305412212507,0.005198945387503733
5.7685318946838375,0.731365872386158,0.15488576889038086,0.0395222355825172,800,20,4,,0.5,6,gini,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_samples': None, 'max_features': 0.5, 'max_depth': 6, 'criterion': 'gini', 'bootstrap': True}",0.5105373836740938,0.5767544091028938,0.5403470042367196,0.5259750697460447,0.46816653884154186,0.5243560811202588,0.035643054252583725,15,0.6532015729123527,0.6490046940500963,0.6526569309626205,0.6612819968460146,0.6674891770974247,0.6567268743737017,0.006711193029080562
1.8430703639984132,0.133704805910053,0.03870468139648438,0.00334508715456232,200,10,2,,0.75,6,log_loss,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_samples': None, 'max_features': 0.75, 'max_depth': 6, 'criterion': 'log_loss', 'bootstrap': True}",0.5333670622561835,0.5585507885426098,0.5339128671998511,0.5206383310686963,0.47352603099645085,0.5239990160127583,0.02806665687424497,16,0.6734361769522164,0.6678040776048517,0.6786590185514905,0.6843160670924124,0.6817313742650124,0.6771893428931967,0.005928737680956621
4.746379089355469,0.40243024761619295,0.1317049026489258,0.03887908286344215,600,40,4,0.7,0.75,8,gini,True,"{'n_estimators': 600, 'min_samples_split': 40, 'min_samples_leaf': 4, 'max_samples': 0.7, 'max_features': 0.75, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': True}",0.5282274033595786,0.5760072845720109,0.5148706742576807,0.5182024185409325,0.48041787020556653,0.5235451301871538,0.030782958375335685,17,0.6567640743193474,0.6435159958878619,0.6490492906318333,0.6619003809701808,0.669522411246269,0.6561504306110985,0.009190250090403463
4.627914333343506,0.5557053272858611,0.12752742767333985,0.010488045800833108,600,20,2,0.7,0.5,,entropy,True,"{'n_estimators': 600, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True}",0.5234112908694625,0.5710903234310667,0.5266867161305094,0.5182711097264142,0.4750899723693238,0.5229098825053553,0.030476655947424505,18,0.7994030695229526,0.7878262294681582,0.7947742626380266,0.7999390327340289,0.8062556934833538,0.7976396575693041,0.0061179519767184986
6.484834051132202,0.38947011201897497,0.16035075187683107,0.02437537205163753,800,10,4,,0.5,6,log_loss,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_samples': None, 'max_features': 0.5, 'max_depth': 6, 'criterion': 'log_loss', 'bootstrap': True}",0.5144039146296895,0.572583204680643,0.5279451325967142,0.5324188041252461,0.4650154540894942,0.5224733020243574,0.03465941600288405,19,0.6615247288513177,0.6578849518790131,0.6631117156451445,0.6715117875557438,0.672043744747816,0.6652153857358071,0.00562232690784154
1.4635499000549317,0.18641794243171592,0.04219808578491211,0.005603780128493823,200,10,2,0.85,0.5,6,entropy,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_samples': 0.85, 'max_features': 0.5, 'max_depth': 6, 'criterion': 'entropy', 'bootstrap': True}",0.5224860555973107,0.5753219050548334,0.5333527227145695,0.5148649211724293,0.46550125156383326,0.5223053712205952,0.03525591521595009,20,0.6609962314356023,0.6587441964123814,0.6586707491696948,0.6747635987786689,0.6749668354569062,0.6656283222506507,0.007588364556340097
1.4284810543060302,0.15381280677990036,0.03798670768737793,0.007200828058431113,200,5,4,0.7,0.75,5,gini,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_samples': 0.7, 'max_features': 0.75, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': True}",0.5182318533893263,0.563162991593887,0.536827962707315,0.5129345852658157,0.47668120531581537,0.5215677196544319,0.02850789311166891,21,0.6111690963166498,0.6150074046284777,0.6128632866781996,0.6224091585175157,0.6237027936425378,0.6170303479566761,0.005084566936830802
4.080281925201416,0.2656397637058617,0.11161847114562988,0.024657230079062693,400,40,8,0.85,,8,gini,True,"{'n_estimators': 400, 'min_samples_split': 40, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': None, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': True}",0.532960459295399,0.5554060187001886,0.5101448943844314,0.5239954176763398,0.4850045186417343,0.5215022617396187,0.02344374500063218,22,0.6523019700886072,0.6461787487634644,0.6509350674414123,0.6574218104652588,0.6632580870218974,0.6540191367561281,0.005845822767783668
2.0767394065856934,0.09025893042453528,0.08014955520629882,0.009994024496005538,400,10,4,0.7,sqrt,8,entropy,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 8, 'criterion': 'entropy', 'bootstrap': True}",0.5022900628535956,0.5611176646526419,0.5368627811641333,0.5227598236487756,0.4842033964073804,0.5214467457453054,0.026710318971842523,23,0.7270567339167018,0.7206820380757275,0.7271586439517108,0.7367831004290653,0.7399051894895816,0.7303171411725573,0.007031086281522693
6.25932765007019,0.6643894280208722,0.17184624671936036,0.025943389862158276,800,20,8,0.7,0.75,8,gini,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 0.75, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': True}",0.5142434235410341,0.5615101000882841,0.5315054100410275,0.5199871926875077,0.4782462941533432,0.5210984841022392,0.026929314218603822,24,0.6894868159332707,0.677719448863399,0.6807065468061253,0.6898406381654353,0.6963938433457865,0.6868294586228034,0.006754088127555795
3.091609001159668,0.2987973670380905,0.08890886306762695,0.014838080147187722,400,20,8,0.85,0.5,10,gini,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': 0.5, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}",0.5079668888497308,0.5687528267579515,0.5342596946101165,0.516178705176901,0.47580242718375576,0.520592108515691,0.030630858772551024,25,0.7365666956803535,0.7186575534110747,0.7233668074987051,0.7302791115730201,0.7419658759197937,0.7301672088165894,0.008472214886280879
2.2732035636901857,0.2666933145312101,0.0852585792541504,0.01402569941922084,400,10,2,,sqrt,6,gini,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_samples': None, 'max_features': 'sqrt', 'max_depth': 6, 'criterion': 'gini', 'bootstrap': True}",0.4984296100697911,0.5731399915352222,0.5410032453815502,0.5130706266225951,0.47559785375351915,0.5202482654725356,0.03391027975890335,26,0.6692591567223115,0.6736838833126503,0.6723713389495573,0.6807956955031584,0.6827967715231741,0.6757813692021702,0.00515609051493909
1.4489790439605712,0.06655260997502532,0.06576547622680665,0.025240820877722156,200,10,8,0.85,sqrt,8,log_loss,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': 'sqrt', 'max_depth': 8, 'criterion': 'log_loss', 'bootstrap': True}",0.515133569887656,0.5712864915355527,0.5348052843013814,0.5125253461760267,0.46729183376313965,0.5202085051327513,0.03378457241167394,27,0.6989588415416973,0.6902569165302177,0.6943651375605754,0.703521028999736,0.7069689607492686,0.698814177076299,0.0060282093569423
6.093533849716186,0.9437859422448694,0.1595163345336914,0.03046614129498421,800,5,8,0.85,0.75,5,gini,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_samples': 0.85, 'max_features': 0.75, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': True}",0.5084225821261995,0.5627203926377111,0.5329757617342457,0.5194737084960313,0.47550956043328607,0.5198204010854948,0.028659915774701183,28,0.6009992231010926,0.6047701874820941,0.612496853316867,0.6152454533416355,0.6169401497611735,0.6100903734005726,0.006168287006153935
2.764357805252075,0.2584165115202469,0.10306968688964843,0.031772397588815206,400,20,4,,sqrt,10,entropy,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_samples': None, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'bootstrap': True}",0.49975565948942036,0.5739483826814299,0.5419292099504669,0.5175271363320431,0.4654396733357856,0.5197200123578292,0.03683396231938454,29,0.7805769171389204,0.7730863760066036,0.7725002408892848,0.7829905860685009,0.7872915352083184,0.7792891310623256,0.005726444522048729
